reference_riot_id,source_player_name,source_tag,matches_analyzed,current_rank_mode,match_rank_mode,avg_team_rank_mode,avg_team_rank_mean_value,avg_team_rank_nearest,avg_team_rank_group,wins,losses,draws,winrate,total_kills,total_deaths,total_assists,total_rounds,recent_kd,recent_kda,recent_acs,recent_tracker_score,recent_adr,recent_dda,recent_hs,recent_kast,recent_first_kills,recent_first_deaths,recent_entry_success,recent_entry_activity,recent_multi_kill_rate,acs_std,trs_std,main_agent,main_map
Axel367#safi,Axel367,safi,20,Silver 3,Silver 3,Silver 3,7.7,Silver 2,Silver,12,8,0,60.0,314,320,92,443,0.981,1.269,202.45,508.55,133.44,2.35,19.9,68.25,55,35,61.11,20.32,5.87,91.54,266.3,Chamber,Haven
starken#7821,starken,7821,20,Gold 2,Gold 2,Bronze 3,7.8,Silver 2,Silver,10,10,0,50.0,261,292,147,403,0.894,1.397,193.3,525.55,123.5,19.76,20.4,63.95,17,21,44.74,9.43,160.3,75.86,248.06,Sova,Pearl
roamz#xzs,roamz,xzs,20,Silver 3,Silver 3,Silver 2,8.2,Silver 2,Silver,6,13,1,30.0,337,343,83,434,0.983,1.224,217.85,487.9,138.93,-0.06,30.1,61.2,45,46,49.45,20.97,73.73,55.15,228.76,Chamber,Haven
Krispeta#COL,Krispeta,COL,20,Silver 3,Silver 3,Silver 3,8.25,Silver 2,Silver,9,10,1,45.0,277,286,143,412,0.969,1.469,199.5,536.3,119.32,15.66,21.95,67.1,28,20,58.33,11.65,186.41,55.27,225.06,Clove,Breeze
Andress#0429,Andress,0429,20,Gold 1,Gold 1,Gold 1,8.35,Silver 2,Silver,8,11,1,40.0,413,389,123,447,1.062,1.378,266.9,653.05,169.13,1.05,13.55,76.1,45,32,58.44,17.23,7.61,59.74,234.86,Clove,Lotus
G4TN#G4TN,G4TN,G4TN,20,Platinum 1,Platinum 1,Silver 2,8.35,Silver 2,Silver,10,10,0,50.0,407,310,125,432,1.313,1.716,273.4,745.6,177.77,41.8,23.1,78.95,64,45,58.72,25.23,8.33,65.91,162.7,Sova,Fracture
Tramadol#LASPA,Tramadol,LASPA,20,Gold 1,Gold 1,Silver 3,8.45,Silver 2,Silver,10,9,1,50.0,301,266,89,405,1.132,1.466,190.15,507.85,118.53,36.34,26.0,58.5,43,42,50.59,20.99,79.75,77.24,215.27,Chamber,Breeze
G17 SebaMaug 族#7464,G17 SebaMaug 族,7464,20,Gold 2,Gold 2,Gold 2,8.5,Silver 2,Silver,8,12,0,40.0,249,291,139,417,0.856,1.333,176.55,495.55,118.76,-9.75,15.85,71.5,30,35,46.15,15.59,4.08,55.55,237.92,Sova,Ascent
lol me arruino#doffy,lol me arruino,doffy,20,Silver 3,Silver 3,Silver 3,8.6,Silver 3,Silver,12,8,0,60.0,279,294,150,421,0.949,1.459,196.5,542.95,112.18,1.4,18.7,66.35,22,25,46.81,11.16,80.76,46.54,176.26,Sage,Haven
Kyojuro#BOT,Kyojuro,BOT,20,Gold 3,Gold 3,Gold 1,8.65,Silver 3,Silver,8,12,0,40.0,322,307,115,432,1.049,1.423,220.6,581.15,134.22,10.59,13.3,70.05,44,41,51.76,19.68,86.11,40.15,215.17,Killjoy,Fracture
MAGGIE GREENE#6969,MAGGIE GREENE,6969,20,Gold 2,Gold 2,Gold 1,8.75,Silver 3,Silver,7,12,1,35.0,353,309,63,408,1.142,1.346,240.2,586.8,149.66,22.16,32.5,65.7,43,39,52.44,20.1,105.64,71.78,279.09,Chamber,Ascent
ÁmbarTeAmo#2409,ÁmbarTeAmo,2409,20,Silver 3,Silver 3,Silver 3,8.75,Silver 3,Silver,8,12,0,40.0,276,313,88,425,0.882,1.163,187.0,462.65,115.7,-6.42,24.2,65.85,34,40,45.95,17.41,30.82,48.99,221.32,Chamber,Ascent
YËP ElSucioNemo#NEMO,YËP ElSucioNemo,NEMO,20,Gold 2,Gold 2,Gold 2,8.8,Silver 3,Silver,10,9,1,50.0,325,311,118,436,1.045,1.424,209.15,558.35,135.4,-0.8,16.3,73.4,33,22,60.0,12.61,3.9,69.88,226.19,Killjoy,Fracture
FF10#FF1,FF10,FF1,20,Gold 3,Gold 3,Silver 3,9.0,Silver 3,Silver,13,7,0,65.0,279,338,124,417,0.825,1.192,202.05,461.1,134.13,-17.35,16.9,63.8,41,65,38.68,25.42,4.56,54.61,227.72,Sage,Fracture
